做過的專案,,,,
,,,,
App,,,,
名稱,核心技術,,,
跳蛙公車,Google登入、地圖整合、購票系統、第三方支付、API串接、firebase推播通知、figma介面規劃,,,
今皓 TUAN,第三方登入（google/apple/FB) 、API串接、AI助理聊天控制google行事曆、figma介面規劃,,,
喬思齊智能客服,串接openai API、reg、embedding、AI聊天UI實作,,,
島嶼生吐司手持POS,API串接、特殊機型功能實作（條碼掃描硬件整合）、 手持POS機介面規劃,,,
,,,,
非App系統,,,,
名稱,核心技術,,,
揚昇球場 電子投票系統,MVC（較不熟),,,
那智捷 截圖辨識,Appium、解析資料回存資料庫、Python,,,
大南方智慧餐飲,點餐機figma介面規劃,,,
,,,,
PM相關,,,,
名稱,核心技術,,,
高球AI,文件、簡報製作,,,
文策院,開立需求單、在內部工程師及廠商窗口做溝通,,,
中小企總,,,,
,,,,
自主學習,,,,
名稱,核心技術,,,
Mino 待辦清單,SwiftUI、待辦清單推播提醒、iCloud資料儲存、UI規劃、AppStore上架,,,
MIsh 個人書櫃,Flutter、第三方API串接、Apple登入、Firebase資料儲存及登入驗證、UI規劃、AppStore上架,,,